migration_key,source_shopify_handle,name,source_title,slug,description,source_description_html,description_plain_text,price,compare_at_price,available_on,status,brand,weight,weight_unit,meta_title,meta_description,verified_feature_summary,title_change_reason,title_confidence,requires_review,primary_taxon_path,category_confidence,category_reason,variants,variant_skus,variant_count,images,image_count,image_alt_texts,tags,tag_count,story_title,story_introduction,story_module_design,story_module_experience,story_module_feature_focus,story_module_use_case,story_module_buyer_note,story_module_closing,story_eligible,story_editorial_status,story_media_refs,story_media_count,redirect_required,redirect_from,redirect_to
lazer-rafale-zline-matt-black-helmet,lazer-rafale-zline-matt-black-helmet,Lazer Rafale Zline Matt Black Helmet,Lazer Rafale Zline Matt Black Helmet,lazer-rafale-zline-matt-black-helmet,Lazer Z-Line Matt Black Helmet Available in multiple sizes and/or colours — select your variant.,Lazer Z-Line Matt Black Helmet,Lazer Z-Line Matt Black Helmet,8499,,2026-07-26,active,Lazer,5000,g,Buy Lazer Rafale Zline Matt Black Helmet | Mile 27 Store,Lazer Z-Line Matt Black Helmet,,Cleaned noise; brand verified,High,false,Helmets > Full-Face Helmets,High,"Mapped from Shopify Type ""Full Face Helmets""",lazer-rafale-zline-matt-black-helmet-1|Size:S|price:8499.00|compare:|weight:5000|barcode:|qty:0 | lazer-rafale-zline-matt-black-helmet-2|Size:M|price:8499.00|compare:|weight:5000|barcode:|qty:0 | lazer-rafale-zline-matt-black-helmet-3|Size:L|price:8499.00|compare:|weight:5000|barcode:|qty:0 | lazer-rafale-zline-matt-black-helmet-4|Size:XL|price:8499.00|compare:|weight:5000|barcode:|qty:0,"lazer-rafale-zline-matt-black-helmet-1,lazer-rafale-zline-matt-black-helmet-2,lazer-rafale-zline-matt-black-helmet-3,lazer-rafale-zline-matt-black-helmet-4",4,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/rafale-Zline.jpg?v=1573810447|pos:1|alt:Lazer Lazer Rafale Zline Matt Black Helmet – front view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/zline1.jpg?v=1573810447|pos:2|alt:Lazer Lazer Rafale Zline Matt Black Helmet – side view,2,Lazer Lazer Rafale Zline Matt Black Helmet – front view | Lazer Lazer Rafale Zline Matt Black Helmet – side view,,0,,,,,,,,,false,not_eligible,,0,false,/products/lazer-rafale-zline-matt-black-helmet,/products/lazer-rafale-zline-matt-black-helmet
lazer-rafale-rocket-red-dark-grey-helmet,lazer-rafale-rocket-red-dark-grey-helmet,Lazer Rafale Rocket Red Dark Grey Helmet,Lazer Rafale Rocket Red Dark Grey Helmet,lazer-rafale-rocket-red-dark-grey-helmet,Lazer Rafale Rocket Red Dark Grey Helmet Available in multiple sizes and/or colours — select your variant.,Lazer Rafale Rocket Red Dark Grey Helmet,Lazer Rafale Rocket Red Dark Grey Helmet,9499,,2026-07-26,active,Lazer,5000,g,Buy Lazer Rafale Rocket Red Dark Grey Helmet | Mile 27 Store,Lazer Rafale Rocket Red Dark Grey Helmet,,Cleaned noise; brand verified,High,false,Helmets > Full-Face Helmets,High,"Mapped from Shopify Type ""Full Face Helmets""",lazer-rafale-rocket-red-dark-grey-helmet-1|Size:S|price:9499.00|compare:|weight:5000|barcode:|qty:0 | lazer-rafale-rocket-red-dark-grey-helmet-2|Size:M|price:9499.00|compare:|weight:5000|barcode:|qty:0 | lazer-rafale-rocket-red-dark-grey-helmet-3|Size:L|price:9499.00|compare:|weight:5000|barcode:|qty:0 | lazer-rafale-rocket-red-dark-grey-helmet-4|Size:XL|price:9499.00|compare:|weight:5000|barcode:|qty:0,"lazer-rafale-rocket-red-dark-grey-helmet-1,lazer-rafale-rocket-red-dark-grey-helmet-2,lazer-rafale-rocket-red-dark-grey-helmet-3,lazer-rafale-rocket-red-dark-grey-helmet-4",4,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/rocket3.jpg?v=1573810757|pos:1|alt:Lazer Lazer Rafale Rocket Red Dark Grey Helmet – front view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/rocket4.jpg?v=1573810757|pos:2|alt:Lazer Lazer Rafale Rocket Red Dark Grey Helmet – side view,2,Lazer Lazer Rafale Rocket Red Dark Grey Helmet – front view | Lazer Lazer Rafale Rocket Red Dark Grey Helmet – side view,,0,,,,,,,,,false,not_eligible,,0,false,/products/lazer-rafale-rocket-red-dark-grey-helmet,/products/lazer-rafale-rocket-red-dark-grey-helmet
lazer-rafale-oni-dark-grey-black-white-helmet,lazer-rafale-oni-dark-grey-black-white-helmet,Lazer Rafale Oni Dark Grey Black White Helmet,Lazer Rafale Oni Dark Grey Black White Helmet,lazer-rafale-oni-dark-grey-black-white-helmet,Lazer Rafale Oni Dark Grey Black White Helmet Available in multiple sizes and/or colours — select your variant.,Lazer Rafale Oni Dark Grey Black White Helmet,Lazer Rafale Oni Dark Grey Black White Helmet,9999,,2026-07-26,active,Lazer,5000,g,Buy Lazer Rafale Oni Dark Grey Black White Helmet | Mile 27 Store,Lazer Rafale Oni Dark Grey Black White Helmet,,Cleaned noise; brand verified,High,false,Helmets > Full-Face Helmets,High,"Mapped from Shopify Type ""Full Face Helmets""",lazer-rafale-oni-dark-grey-black-white-helmet-1|Size:S|price:9999.00|compare:|weight:5000|barcode:|qty:0 | lazer-rafale-oni-dark-grey-black-white-helmet-2|Size:M|price:9999.00|compare:|weight:5000|barcode:|qty:0 | lazer-rafale-oni-dark-grey-black-white-helmet-3|Size:L|price:9999.00|compare:|weight:5000|barcode:|qty:0 | lazer-rafale-oni-dark-grey-black-white-helmet-4|Size:XL|price:9999.00|compare:|weight:5000|barcode:|qty:0,"lazer-rafale-oni-dark-grey-black-white-helmet-1,lazer-rafale-oni-dark-grey-black-white-helmet-2,lazer-rafale-oni-dark-grey-black-white-helmet-3,lazer-rafale-oni-dark-grey-black-white-helmet-4",4,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/oni2.jpg?v=1573811430|pos:1|alt:Lazer Lazer Rafale Oni Dark Grey Black White Helmet – front view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/oni3.jpg?v=1573811430|pos:2|alt:Lazer Lazer Rafale Oni Dark Grey Black White Helmet – side view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/oni4.jpg?v=1573811430|pos:3|alt:Lazer Lazer Rafale Oni Dark Grey Black White Helmet – rear view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/oni5.jpg?v=1573811431|pos:4|alt:Lazer Lazer Rafale Oni Dark Grey Black White Helmet – detail view,4,Lazer Lazer Rafale Oni Dark Grey Black White Helmet – front view | Lazer Lazer Rafale Oni Dark Grey Black White Helmet – side view | Lazer Lazer Rafale Oni Dark Grey Black White Helmet – rear view | Lazer Lazer Rafale Oni Dark Grey Black White Helmet – detail view,,0,,,,,,,,,false,not_eligible,,0,false,/products/lazer-rafale-oni-dark-grey-black-white-helmet,/products/lazer-rafale-oni-dark-grey-black-white-helmet
lazer-rafale-13-original-helmet,lazer-rafale-13-original-helmet,Lazer Rafale $13 Original Helmet,Lazer Rafale $13 Original Helmet,lazer-rafale-13-original-helmet,Lazer Rafale $13 Original Helmet Available in multiple sizes and/or colours — select your variant.,Lazer Rafale $13 Original Helmet,Lazer Rafale $13 Original Helmet,9999,,2026-07-26,active,Lazer,5000,g,Buy Lazer Rafale $13 Original Helmet | Mile 27 Store,Lazer Rafale $13 Original Helmet,,Cleaned noise; brand verified,High,false,Helmets > Full-Face Helmets,High,"Mapped from Shopify Type ""Full Face Helmets""",lazer-rafale-13-original-helmet-1|Size:S|price:9999.00|compare:|weight:5000|barcode:|qty:0 | lazer-rafale-13-original-helmet-2|Size:M|price:9999.00|compare:|weight:5000|barcode:|qty:0 | lazer-rafale-13-original-helmet-3|Size:L|price:9999.00|compare:|weight:5000|barcode:|qty:0 | lazer-rafale-13-original-helmet-4|Size:XL|price:9999.00|compare:|weight:5000|barcode:|qty:0,"lazer-rafale-13-original-helmet-1,lazer-rafale-13-original-helmet-2,lazer-rafale-13-original-helmet-3,lazer-rafale-13-original-helmet-4",4,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/13.jpg?v=1573811726|pos:1|alt:Lazer Lazer Rafale $13 Original Helmet – front view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/131.jpg?v=1573811726|pos:2|alt:Lazer Lazer Rafale $13 Original Helmet – side view,2,Lazer Lazer Rafale $13 Original Helmet – front view | Lazer Lazer Rafale $13 Original Helmet – side view,,0,,,,,,,,,false,not_eligible,,0,false,/products/lazer-rafale-13-original-helmet,/products/lazer-rafale-13-original-helmet
lazer-mh5-zline-matt-black-modular-helmet,lazer-mh5-zline-matt-black-modular-helmet,Lazer MH5 Zline Matt Black Modular Helmet,Lazer MH5 Zline Matt Black Modular Helmet,lazer-mh5-zline-matt-black-modular-helmet,Lazer MH5 Zline Matt Black Modular Helmet Available in multiple sizes and/or colours — select your variant.,Lazer MH5 Zline Matt Black Modular Helmet,Lazer MH5 Zline Matt Black Modular Helmet,8999,,2026-07-26,active,Lazer,5000,g,Buy Lazer MH5 Zline Matt Black Modular Helmet | Mile 27 Store,Lazer MH5 Zline Matt Black Modular Helmet,,Cleaned noise; brand verified,High,false,Helmets > Modular Helmets,High,"Refined by title keyword: ""\bmodular|flip[\s-]?up|flip up|jet\s+modular\b""",lazer-mh5-zline-matt-black-modular-helmet-1|Size:S|price:8999.00|compare:|weight:5000|barcode:|qty:0 | lazer-mh5-zline-matt-black-modular-helmet-2|Size:M|price:8999.00|compare:|weight:5000|barcode:|qty:0 | lazer-mh5-zline-matt-black-modular-helmet-3|Size:L|price:8999.00|compare:|weight:5000|barcode:|qty:0 | lazer-mh5-zline-matt-black-modular-helmet-4|Size:XL|price:8999.00|compare:|weight:5000|barcode:|qty:0,"lazer-mh5-zline-matt-black-modular-helmet-1,lazer-mh5-zline-matt-black-modular-helmet-2,lazer-mh5-zline-matt-black-modular-helmet-3,lazer-mh5-zline-matt-black-modular-helmet-4",4,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/MH5-Matt-Black.jpg?v=1573812447|pos:1|alt:Lazer Lazer MH5 Zline Matt Black Modular Helmet – front view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/mh51.jpg?v=1573812447|pos:2|alt:Lazer Lazer MH5 Zline Matt Black Modular Helmet – side view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/mh52.jpg?v=1573812447|pos:3|alt:Lazer Lazer MH5 Zline Matt Black Modular Helmet – rear view,3,Lazer Lazer MH5 Zline Matt Black Modular Helmet – front view | Lazer Lazer MH5 Zline Matt Black Modular Helmet – side view | Lazer Lazer MH5 Zline Matt Black Modular Helmet – rear view,,0,,,,,,,,,false,not_eligible,,0,false,/products/lazer-mh5-zline-matt-black-modular-helmet,/products/lazer-mh5-zline-matt-black-modular-helmet
lazer-mh5-black-red-white-modular-helmet,lazer-mh5-black-red-white-modular-helmet,Lazer MH5 Black Red White Modular Helmet,Lazer MH5 Black Red White Modular Helmet,lazer-mh5-black-red-white-modular-helmet,Lazer MH5 Black Red White Modular Helmet Available in multiple sizes and/or colours — select your variant.,Lazer MH5 Black Red White Modular Helmet,Lazer MH5 Black Red White Modular Helmet,10499,,2026-07-26,active,Lazer,5000,g,Buy Lazer MH5 Black Red White Modular Helmet | Mile 27 Store,Lazer MH5 Black Red White Modular Helmet,,Cleaned noise; brand verified,High,false,Helmets > Modular Helmets,High,"Refined by title keyword: ""\bmodular|flip[\s-]?up|flip up|jet\s+modular\b""",lazer-mh5-black-red-white-modular-helmet-1|Size:S|price:10499.00|compare:|weight:5000|barcode:|qty:0 | lazer-mh5-black-red-white-modular-helmet-2|Size:M|price:10499.00|compare:|weight:5000|barcode:|qty:0 | lazer-mh5-black-red-white-modular-helmet-3|Size:L|price:10499.00|compare:|weight:5000|barcode:|qty:0 | lazer-mh5-black-red-white-modular-helmet-4|Size:XL|price:10499.00|compare:|weight:5000|barcode:|qty:0,"lazer-mh5-black-red-white-modular-helmet-1,lazer-mh5-black-red-white-modular-helmet-2,lazer-mh5-black-red-white-modular-helmet-3,lazer-mh5-black-red-white-modular-helmet-4",4,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/mh53-2.jpg?v=1573812785|pos:1|alt:Lazer Lazer MH5 Black Red White Modular Helmet – front view,1,Lazer Lazer MH5 Black Red White Modular Helmet – front view,,0,,,,,,,,,false,not_eligible,,0,false,/products/lazer-mh5-black-red-white-modular-helmet,/products/lazer-mh5-black-red-white-modular-helmet
lazer-mh5-black-grey-modular-helmet,lazer-mh5-black-grey-modular-helmet,Lazer MH5 Black Grey Modular Helmet,Lazer MH5 Black Grey Modular Helmet,lazer-mh5-black-grey-modular-helmet,Lazer MH5 Black Grey Modular Helmet Available in multiple sizes and/or colours — select your variant.,Lazer MH5 Black Grey Modular Helmet,Lazer MH5 Black Grey Modular Helmet,9999,,2026-07-26,active,Lazer,5000,g,Buy Lazer MH5 Black Grey Modular Helmet | Mile 27 Store,Lazer MH5 Black Grey Modular Helmet,,Cleaned noise; brand verified,High,false,Helmets > Modular Helmets,High,"Refined by title keyword: ""\bmodular|flip[\s-]?up|flip up|jet\s+modular\b""",lazer-mh5-black-grey-modular-helmet-1|Size:S|price:9999.00|compare:|weight:5000|barcode:|qty:0 | lazer-mh5-black-grey-modular-helmet-2|Size:M|price:9999.00|compare:|weight:5000|barcode:|qty:0 | lazer-mh5-black-grey-modular-helmet-3|Size:L|price:9999.00|compare:|weight:5000|barcode:|qty:0 | lazer-mh5-black-grey-modular-helmet-4|Size:XL|price:9999.00|compare:|weight:5000|barcode:|qty:0,"lazer-mh5-black-grey-modular-helmet-1,lazer-mh5-black-grey-modular-helmet-2,lazer-mh5-black-grey-modular-helmet-3,lazer-mh5-black-grey-modular-helmet-4",4,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/mh511.jpg?v=1573813250|pos:1|alt:Lazer Lazer MH5 Black Grey Modular Helmet – front view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/mh512.jpg?v=1573813250|pos:2|alt:Lazer Lazer MH5 Black Grey Modular Helmet – side view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/mh513-500x643.jpg?v=1573813250|pos:3|alt:Lazer Lazer MH5 Black Grey Modular Helmet – rear view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/mh514-500x440.jpg?v=1573813250|pos:4|alt:Lazer Lazer MH5 Black Grey Modular Helmet – detail view,4,Lazer Lazer MH5 Black Grey Modular Helmet – front view | Lazer Lazer MH5 Black Grey Modular Helmet – side view | Lazer Lazer MH5 Black Grey Modular Helmet – rear view | Lazer Lazer MH5 Black Grey Modular Helmet – detail view,,0,,,,,,,,,false,not_eligible,,0,false,/products/lazer-mh5-black-grey-modular-helmet,/products/lazer-mh5-black-grey-modular-helmet
lazer-mh5-black-gold-white-modular-helmet,lazer-mh5-black-gold-white-modular-helmet,Lazer MH5 Black Gold White Modular Helmet,Lazer MH5 Black Gold White Modular Helmet,lazer-mh5-black-gold-white-modular-helmet,Lazer MH5 Black Gold White Modular Helmet Available in multiple sizes and/or colours — select your variant.,Lazer MH5 Black Gold White Modular Helmet,Lazer MH5 Black Gold White Modular Helmet,10499,,2026-07-26,active,Lazer,5000,g,Buy Lazer MH5 Black Gold White Modular Helmet | Mile 27 Store,Lazer MH5 Black Gold White Modular Helmet,,Cleaned noise; brand verified,High,false,Helmets > Modular Helmets,High,"Refined by title keyword: ""\bmodular|flip[\s-]?up|flip up|jet\s+modular\b""",lazer-mh5-black-gold-white-modular-helmet-1|Size:S|price:10499.00|compare:|weight:5000|barcode:|qty:0 | lazer-mh5-black-gold-white-modular-helmet-2|Size:M|price:10499.00|compare:|weight:5000|barcode:|qty:0 | lazer-mh5-black-gold-white-modular-helmet-3|Size:L|price:10499.00|compare:|weight:5000|barcode:|qty:0 | lazer-mh5-black-gold-white-modular-helmet-4|Size:XL|price:10499.00|compare:|weight:5000|barcode:|qty:0,"lazer-mh5-black-gold-white-modular-helmet-1,lazer-mh5-black-gold-white-modular-helmet-2,lazer-mh5-black-gold-white-modular-helmet-3,lazer-mh5-black-gold-white-modular-helmet-4",4,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/mh55-1.jpg?v=1573813535|pos:1|alt:Lazer Lazer MH5 Black Gold White Modular Helmet – front view,1,Lazer Lazer MH5 Black Gold White Modular Helmet – front view,,0,,,,,,,,,false,not_eligible,,0,false,/products/lazer-mh5-black-gold-white-modular-helmet,/products/lazer-mh5-black-gold-white-modular-helmet
lazer-tango-z-line-matt-black-open-face-helmet,lazer-tango-z-line-matt-black-open-face-helmet,Lazer Tango Z-Line Matt Black Open Face Helmet,Lazer Tango Z-Line Matt Black Open Face Helmet,lazer-tango-z-line-matt-black-open-face-helmet,Lazer Tango Z-Line Matt Black Open Face Helmet Available in multiple sizes and/or colours — select your variant.,Lazer Tango Z-Line Matt Black Open Face Helmet,Lazer Tango Z-Line Matt Black Open Face Helmet,7499,,2026-07-26,active,Lazer,5000,g,Lazer Tango Z-Line Matt Black Open Face Helmet | Mile 27 Store,Lazer Tango Z-Line Matt Black Open Face Helmet,,Cleaned noise; brand verified,High,false,Helmets > Open-Face Helmets,High,"Refined by title keyword: ""\bopen[\s-]?face|open face|jet\b""",lazer-tango-z-line-matt-black-open-face-helmet-1|Size:S|price:7499.00|compare:|weight:5000|barcode:|qty:0 | lazer-tango-z-line-matt-black-open-face-helmet-2|Size:M|price:7499.00|compare:|weight:5000|barcode:|qty:0 | lazer-tango-z-line-matt-black-open-face-helmet-3|Size:L|price:7499.00|compare:|weight:5000|barcode:|qty:0 | lazer-tango-z-line-matt-black-open-face-helmet-4|Size:XL|price:7499.00|compare:|weight:5000|barcode:|qty:0,"lazer-tango-z-line-matt-black-open-face-helmet-1,lazer-tango-z-line-matt-black-open-face-helmet-2,lazer-tango-z-line-matt-black-open-face-helmet-3,lazer-tango-z-line-matt-black-open-face-helmet-4",4,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/tangozline1.jpg?v=1573814012|pos:1|alt:Lazer Lazer Tango Z-Line Matt Black Open Face Helmet – front view,1,Lazer Lazer Tango Z-Line Matt Black Open Face Helmet – front view,,0,,,,,,,,,false,not_eligible,,0,false,/products/lazer-tango-z-line-matt-black-open-face-helmet,/products/lazer-tango-z-line-matt-black-open-face-helmet
lazer-tango-black-white-grey-open-face-helmet,lazer-tango-black-white-grey-open-face-helmet,Lazer Tango Black White Grey Open Face Helmet,Lazer Tango Black White Grey Open Face Helmet,lazer-tango-black-white-grey-open-face-helmet,Lazer Tango Black White Grey Open Face Helmet Available in multiple sizes and/or colours — select your variant.,Lazer Tango Black White Grey Open Face Helmet,Lazer Tango Black White Grey Open Face Helmet,7999,,2026-07-26,active,Lazer,5000,g,Buy Lazer Tango Black White Grey Open Face Helmet | Mile 27 Store,Lazer Tango Black White Grey Open Face Helmet,,Cleaned noise; brand verified,High,false,Helmets > Open-Face Helmets,High,"Refined by title keyword: ""\bopen[\s-]?face|open face|jet\b""",lazer-tango-black-white-grey-open-face-helmet-1|Size:S|price:7999.00|compare:|weight:5000|barcode:|qty:0 | lazer-tango-black-white-grey-open-face-helmet-2|Size:M|price:7999.00|compare:|weight:5000|barcode:|qty:0 | lazer-tango-black-white-grey-open-face-helmet-3|Size:L|price:7999.00|compare:|weight:5000|barcode:|qty:0 | lazer-tango-black-white-grey-open-face-helmet-4|Size:XL|price:7999.00|compare:|weight:5000|barcode:|qty:0,"lazer-tango-black-white-grey-open-face-helmet-1,lazer-tango-black-white-grey-open-face-helmet-2,lazer-tango-black-white-grey-open-face-helmet-3,lazer-tango-black-white-grey-open-face-helmet-4",4,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/tango-grey.jpg?v=1573814658|pos:1|alt:Lazer Lazer Tango Black White Grey Open Face Helmet – front view,1,Lazer Lazer Tango Black White Grey Open Face Helmet – front view,,0,,,,,,,,,false,not_eligible,,0,false,/products/lazer-tango-black-white-grey-open-face-helmet,/products/lazer-tango-black-white-grey-open-face-helmet
